Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
679,,What is your phone number?,Text Entry,,,
680,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
681,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
682,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
683,,Where are you from?,Text Entry,,,
684,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
685,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
686,,What is your phone number?,Text Entry,,,
687,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
688,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
689,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
690,,Where are you from?,Text Entry,,,
691,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
692,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
693,,What is your phone number?,Text Entry,,,
694,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
695,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
696,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
697,,Where are you from?,Text Entry,,,
698,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
699,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
700,,What is your phone number?,Text Entry,,,
701,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
702,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
703,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
704,,Where are you from?,Text Entry,,,
705,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
706,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
707,,What is your phone number?,Text Entry,,,
708,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
709,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
710,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
711,,Where are you from?,Text Entry,,,
712,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
713,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
714,,What is your phone number?,Text Entry,,,
715,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
716,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
717,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
718,,Where are you from?,Text Entry,,,
719,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
720,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
721,,What is your phone number?,Text Entry,,,
722,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
723,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
724,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
725,,Where are you from?,Text Entry,,,
726,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
727,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
728,,What is your phone number?,Text Entry,,,
729,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
730,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
731,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
732,,Where are you from?,Text Entry,,,
733,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
734,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
735,,What is your phone number?,Text Entry,,,
736,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
737,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
738,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
739,,Where are you from?,Text Entry,,,
740,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
741,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
742,,What is your phone number?,Text Entry,,,
743,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
744,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
745,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
746,,Where are you from?,Text Entry,,,
747,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
748,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
749,,What is your phone number?,Text Entry,,,
750,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
751,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
752,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
753,,Where are you from?,Text Entry,,,
754,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
755,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
756,,What is your phone number?,Text Entry,,,
757,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
758,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
759,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
760,,Where are you from?,Text Entry,,,
761,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
762,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
763,,What is your phone number?,Text Entry,,,
764,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
765,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
766,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
767,,Where are you from?,Text Entry,,,
768,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
769,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
770,,What is your phone number?,Text Entry,,,
771,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
772,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
773,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
774,,Where are you from?,Text Entry,,,
775,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
776,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
777,,What is your phone number?,Text Entry,,,
778,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
779,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
780,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
781,,Where are you from?,Text Entry,,,
782,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
783,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
784,,What is your phone number?,Text Entry,,,
785,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
786,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
787,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
788,,Where are you from?,Text Entry,,,
789,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
790,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
791,,What is your phone number?,Text Entry,,,
792,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
793,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
794,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
795,,Where are you from?,Text Entry,,,
796,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
797,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
798,,What is your phone number?,Text Entry,,,
799,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
800,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
801,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
802,,Where are you from?,Text Entry,,,
803,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
804,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
805,,What is your phone number?,Text Entry,,,
806,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
807,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
808,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
809,,Where are you from?,Text Entry,,,
810,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
811,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
812,,What is your phone number?,Text Entry,,,
813,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
814,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
815,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
816,,Where are you from?,Text Entry,,,
817,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
818,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
819,,What is your phone number?,Text Entry,,,
820,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
821,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
822,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
823,,Where are you from?,Text Entry,,,
824,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
825,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
826,,What is your phone number?,Text Entry,,,
827,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
828,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
829,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
830,,Where are you from?,Text Entry,,,
831,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
832,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
833,,What is your phone number?,Text Entry,,,
834,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
835,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
836,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
837,,Where are you from?,Text Entry,,,
838,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
839,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
840,Block 4,What is your phone number?,Text Entry,,,
841,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
842,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
843,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
844,,Where are you from?,Text Entry,,,
845,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
846,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
847,,What is your phone number?,Text Entry,,,
848,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
849,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
850,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
851,,Where are you from?,Text Entry,,,
852,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
853,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
854,,What is your phone number?,Text Entry,,,
855,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
856,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
857,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
858,,Where are you from?,Text Entry,,,
859,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
860,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
861,,What is your phone number?,Text Entry,,,
862,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
863,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
864,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
865,,Where are you from?,Text Entry,,,
866,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
867,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
868,,What is your phone number?,Text Entry,,,
869,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
870,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
871,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
872,,Where are you from?,Text Entry,,,
873,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
874,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
875,,What is your phone number?,Text Entry,,,
876,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
877,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
878,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
879,,Where are you from?,Text Entry,,,
880,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
881,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
882,,What is your phone number?,Text Entry,,,
883,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
884,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
885,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
886,,Where are you from?,Text Entry,,,
887,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
888,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
889,,What is your phone number?,Text Entry,,,
890,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
891,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
892,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
893,,Where are you from?,Text Entry,,,
894,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
895,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
896,,What is your phone number?,Text Entry,,,
897,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
898,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
899,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
900,,Where are you from?,Text Entry,,,
901,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
902,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
903,,What is your phone number?,Text Entry,,,
904,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
905,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
906,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
907,,Where are you from?,Text Entry,,,
908,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
909,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
910,,What is your phone number?,Text Entry,,,
911,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
912,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
913,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
914,,Where are you from?,Text Entry,,,
915,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
916,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
917,,What is your phone number?,Text Entry,,,
918,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
919,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
920,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
921,,Where are you from?,Text Entry,,,
922,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
923,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
924,,What is your phone number?,Text Entry,,,
925,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
926,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
927,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
928,,Where are you from?,Text Entry,,,
929,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
930,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
931,,What is your phone number?,Text Entry,,,
932,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
933,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
934,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
935,,Where are you from?,Text Entry,,,
936,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
937,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
938,,What is your phone number?,Text Entry,,,
939,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
940,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
941,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
942,,Where are you from?,Text Entry,,,
943,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
944,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
945,,What is your phone number?,Text Entry,,,
946,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
947,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
948,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
949,,Where are you from?,Text Entry,,,
950,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
951,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
952,,What is your phone number?,Text Entry,,,
953,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
954,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
955,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
956,,Where are you from?,Text Entry,,,
957,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
958,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
959,,What is your phone number?,Text Entry,,,
960,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
961,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
962,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
963,,Where are you from?,Text Entry,,,
964,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
965,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
966,,What is your phone number?,Text Entry,,,
967,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
968,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
969,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
970,,Where are you from?,Text Entry,,,
971,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
972,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
973,,What is your phone number?,Text Entry,,,
974,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
975,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
976,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
977,,Where are you from?,Text Entry,,,
978,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
979,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
980,,What is your phone number?,Text Entry,,,
981,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
982,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
983,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
984,,Where are you from?,Text Entry,,,
985,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
986,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
987,,What is your phone number?,Text Entry,,,
988,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
989,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
990,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
991,,Where are you from?,Text Entry,,,
992,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
993,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
994,,What is your phone number?,Text Entry,,,
995,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
996,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
997,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
998,,Where are you from?,Text Entry,,,
999,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1000,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1001,,What is your phone number?,Text Entry,,,
1002,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1003,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1004,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1005,,Where are you from?,Text Entry,,,
1006,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1007,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1008,,What is your phone number?,Text Entry,,,
1009,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1010,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1011,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1012,,Where are you from?,Text Entry,,,
1013,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1014,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1015,,What is your phone number?,Text Entry,,,
1016,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1017,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
